True,Pred,GC_norm,Day sin,Day cos
NORMAL,NORMAL,-0.6533760340657198,0.017213356155834685,0.9998518392091162
NORMAL,NORMAL,-0.7079816464492308,0.03442161162274574,0.9994074007397048
NORMAL,NORMAL,-0.6317885758029647,0.051619667223253764,0.998666816288476
SPIKE,NORMAL,-0.9897487456741917,0.06880242680231986,0.9976303053065857
NORMAL,NORMAL,-0.7425363525731172,0.08596479873744647,0.9962981749346078
NORMAL,NORMAL,-0.7139672565303481,0.10310169744743485,0.9946708199115211
NORMAL,NORMAL,-0.6520864840196599,0.1202080448993527,0.9927487224577402
NORMAL,NORMAL,-0.6695511625388031,0.13727877211326478,0.9905324521322229
NORMAL,NORMAL,-0.6554010226618007,0.15430882066428117,0.9880226656636976
NORMAL,NORMAL,-0.6898161817723975,0.1712931441814776,0.9852201067560606
NORMAL,NORMAL,-0.6140828285537631,0.1882267098432442,0.9821256058680006
NORMAL,NORMAL,-0.6169425442494377,0.2051044998686192,0.9787400799669153
NORMAL,NORMAL,-0.6462272961444782,0.22192151300416552,0.9750645322571948
NORMAL,NORMAL,-0.5987824751519416,0.2386727660059501,0.9711000518829505
NORMAL,NORMAL,-0.6259633758528338,0.255353295116187,0.9668478136052775
NORMAL,NORMAL,-0.68246220396141,0.2719581575341055,0.9623090774541486
NORMAL,NORMAL,-0.6274170756774926,0.288482432880609,0.9574851883550393
NORMAL,NORMAL,-0.6843425523344092,0.30492122465628907,0.9523775757303974
NORMAL,NORMAL,-0.6021355121657801,0.3212696616923644,0.9469877530760753
NORMAL,NORMAL,-0.6417153127087692,0.3375228995941133,0.9413173175128471
NORMAL,NORMAL,-0.6463677287431497,0.3536761221763716,0.9353679493131483
NORMAL,NORMAL,-0.6671268848583415,0.3697245428906731,0.9291414114031743
NORMAL,NORMAL,-0.5809834421320375,0.38566340624360707,0.9226395488404876
NORMAL,NORMAL,-0.6411235526119909,0.401487989205973,0.9158642882672872
NORMAL,NORMAL,-0.6521283019155633,0.4171936026123168,0.9088176373395029
NORMAL,NORMAL,-0.6474641920917411,0.4327755925504312,0.901501684131884
NORMAL,NORMAL,-0.6063162203748657,0.4482293417404106,0.893918596519257
NORMAL,NORMAL,-0.6125310723321851,0.4635502709028509,0.886070621534138
NORMAL,NORMAL,-0.609081472688135,0.47873384011578846,0.8779600847008882
NORMAL,NORMAL,-0.6069610258272092,0.4937755501599772,0.869589389346611
NORMAL,NORMAL,-0.5276116318856011,0.5086709438521044,0.8609610158889943
NORMAL,NORMAL,-0.6427042344734384,0.5234156073655503,0.8520775211013093
NORMAL,NORMAL,-0.6463993630302138,0.5380051715382996,0.8429415373547828
NORMAL,NORMAL,-0.6591330020766045,0.5524353131676196,0.8335557718385699
NORMAL,NORMAL,-0.592122786184263,0.5667017562911176,0.8239230057575542
NORMAL,NORMAL,-0.5671694863949881,0.5808002734538009,0.8140460935082178
NORMAL,NORMAL,-0.6234842454797119,0.5947266869607634,0.8039279618328213
NORMAL,NORMAL,-0.6560944724811775,0.6084768701151261,0.7935716089521474
NORMAL,NORMAL,-0.654334949251512,0.6220467484408675,0.7829801036770629
NORMAL,NORMAL,-0.5844634387753899,0.6354323008901774,0.7721565844991642
NORMAL,NORMAL,-0.5789637665313312,0.6486295610349814,0.7611042586607747
SPIKE,NORMAL,-0.9332888319737019,0.6616346182422783,0.7498264012045686
NORMAL,NORMAL,-0.6428808134175658,0.6744436188329455,0.7383263540031065
NORMAL,NORMAL,-0.5996201721979867,0.6870527672236669,0.7266075247685656
NORMAL,NORMAL,-0.6040202198740895,0.6994583270516471,0.7146733860429609
NORMAL,NORMAL,-0.5981723062239797,0.7116566222817746,0.702527474169157
NORMAL,NORMAL,-0.5662118279040882,0.7236440382959124,0.6901733882429719
NORMAL,NORMAL,-0.5959280720591884,0.7354170229639855,0.6776147890466889
NORMAL,NORMAL,-0.5732753520819801,0.7469720876965552,0.6648553979642865
NORMAL,NORMAL,-0.6014311936904138,0.7583058084785625,0.6518989958787126
NORMAL,NORMAL,-0.5899177873665346,0.7694148268839378,0.6387494220515272
NORMAL,NORMAL,-0.5726079629186466,0.7802958510707755,0.6254105729852463
NORMAL,NORMAL,-0.6718456864005058,0.7909456567567772,0.6118864012687243
SEASONAL,NORMAL,1.6577090261260732,0.8013610881746766,0.5981809144059164
NORMAL,NORMAL,-0.6228875395670976,0.8115390590073611,0.5842981736283683
NORMAL,NORMAL,-0.6302283637559812,0.8214765533024142,0.5702422926917871
NORMAL,NORMAL,-0.6119083529411702,0.8311706263658079,0.5560174366570446
SEASONAL,NORMAL,-1.2964027249249026,0.8406184056344782,0.5416278206559814
NORMAL,NORMAL,-0.6390277259176024,0.8498170915275278,0.5270777086423722
NORMAL,NORMAL,-0.5493445477552664,0.8587639582758029,0.5123714121284237
NORMAL,NORMAL,-0.677401511942886,0.8674563547295968,0.49751328890718066
NORMAL,NORMAL,-0.6112137044688998,0.8758917051442429,0.48250774176121847
NORMAL,NORMAL,-0.5863053324897661,0.8840675099433636,0.46735921715800227
NORMAL,NORMAL,-0.5649723881538189,0.8919813464595485,0.45207220393230435
NORMAL,NORMAL,-0.5581930702389615,0.8996308696522433,0.43665123195606403
NORMAL,NORMAL,-0.5535200466821991,0.9070138128026359,0.4211008707960896
NORMAL,NORMAL,-0.6088306240011649,0.9141279881853337,0.40542572835999735
NORMAL,NORMAL,-0.6138562211286683,0.9209712877166346,0.38963044953078796
NORMAL,NORMAL,-0.5485116828435498,0.9275416835791966,0.37371971479046906
NORMAL,NORMAL,-0.5995177757288735,0.9338372288229252,0.35769823883312546
NORMAL,NORMAL,-0.6523803864285775,0.9398560579418954,0.3415707691678556
NORMAL,NORMAL,-0.6449527589881231,0.9455963874271426,0.3253420847119801
NORMAL,NORMAL,-0.6340112284904236,0.9510565162951535,0.30901699437494745
NORMAL,NORMAL,-0.5637321705850505,0.9562348265919056,0.29260033563334836
NORMAL,NORMAL,-0.5808220396022464,0.9611297838723007,0.27609697309746883
NORMAL,NORMAL,-0.5533526944360886,0.9657399376548549,0.2595117970697999
SPIKE,NORMAL,0.33850693932804427,0.970063921851507,0.2428497220959356
OUTLIER,NORMAL,-0.03174337737032528,0.9741004551724205,0.22611568550828828
NORMAL,NORMAL,-0.5554937548517597,0.9778483415056568,0.20931464596304847
NORMAL,NORMAL,-0.6015093092278824,0.9813064702716093,0.19245158197082998
NORMAL,NORMAL,-0.5632787307908745,0.9844738167520922,0.1755314904214282
NORMAL,NORMAL,-0.6185098661627582,0.9873494423939864,0.15855938510313478
NORMAL,NORMAL,-0.6034815930029881,0.989932495087353,0.141540295217043
NORMAL,NORMAL,-0.604226180530288,0.9922222094179323,0.12447926388678915
NORMAL,NORMAL,-0.6444875827167672,0.994217906893952,0.10738134666416309
NORMAL,NORMAL,-0.5607876925741064,0.995918996147179,0.09025161003104117
NORMAL,NORMAL,-0.6081744738157938,0.9973249731081555,0.07309512989807777
NORMAL,NORMAL,-0.5841436743402949,0.9984354211555643,0.055916990100603484
